name,serving_wt,kcal,carbo,protein,fat,year,company
베이글,120.0,335.48,68.66,12.52,1.2,2012, 
베이글(강원도),120.0,337.2,67.61,13.34,1.5,2012, 
베이글(경기도),120.0,334.8,68.51,11.96,1.42,2012, 
베이글(경상도),120.0,333.6,68.99,13.38,0.47,2012, 
베이글(서울),120.0,338.4,69.89,11.26,1.56,2012, 
베이글(전라도),120.0,342.0,69.76,11.81,1.7,2012, 
베이글(충청도),120.0,326.4,67.17,13.37,0.54,2012, 
곰보빵,70.0,277.34,42.16,6.31,9.27,2012, 
곰보빵(강원도),70.0,270.9,41.68,6.44,8.7,2012, 
곰보빵(경기도),70.0,277.9,41.5,6.23,9.63,2012, 
곰보빵(경상도),70.0,275.1,43.69,6.04,8.45,2012, 
곰보빵(서울),70.0,283.5,41.85,6.28,10.13,2012, 
곰보빵(전라도),70.0,293.3,41.27,6.73,11.24,2012, 
곰보빵(충청도),70.0,263.9,42.94,6.17,7.48,2012, 
마늘빵,70.0,236.83,30.22,5.72,10.62,2017, 
마늘빵(강원도),70.0,287.0,40.58,5.67,11.36,2009, 
마늘빵(경기도),70.0,283.5,39.04,6.56,11.23,2009, 
마늘빵(경상도),70.0,310.8,42.79,6.2,12.75,2009, 
마늘빵(서울),70.0,281.4,38.01,7.91,10.89,2009, 
마늘빵(전라도),70.0,311.5,41.83,7.36,12.73,2009, 
마늘빵(충청도),70.0,304.5,39.05,7.39,13.22,2009, 
모닝빵,70.0,202.39,29.83,5.33,6.39,2017, 
모닝빵(강원도),70.0,234.5,36.16,7.04,6.89,2010, 
모닝빵(경기도),70.0,234.5,36.55,7.19,6.63,2010, 
모닝빵(경상도),70.0,228.2,36.66,6.56,6.16,2010, 
모닝빵(서울),70.0,235.9,36.41,6.74,7.07,2010, 
모닝빵(전라도),70.0,227.5,35.81,6.92,6.29,2010, 
모닝빵(충청도),70.0,229.6,37.04,6.98,5.96,2010, 
버터크림빵,70.0,205.8,23.52,3.92,10.78,2017, 
버터크림빵(강원도),60.0,246.0,29.62,4.1,12.34,2009, 
버터크림빵(경기도),60.0,243.0,27.65,4.02,12.91,2009, 
버터크림빵(경상도),60.0,234.6,27.77,4.3,11.83,2009, 
