name,serving_wt,kcal,carbo,protein,fat,company
콘소메스프,100,11,0.32,2.52,0, 
현미죽,100,70,15.2,1.2,0.4, 
현미죽,100,70,15.2,1.2,0.4, 
죽,100,71,15.6,1.4,0, 
죽,100,68,15.6,1.4,0, 
율무죽,100,44,9.5,0.5,0.4, 
율무죽,100,42,9.5,0.5,0.4, 
잣죽,100,31,5,0.7,0.9, 
잣죽,100,28,5,0.7,0.9, 
참깨죽,100,38,5.9,1,1.2, 
참깨죽,100,35,5.9,1,1.2, 
"옥수수죽,레토르트",100,86,8.6,2,4.8, 
"옥수수죽,레토르트",100,86,8.6,2,4.8, 
"죽,팥죽,레토르트",100,117,24.4,3.9,0.4, 
"죽,팥죽,레토르트",100,117,24.4,3.9,0.4, 
호박죽레토르트,350,220.5,2.1,3.85,1.4, 
참치죽레토르트,350,161,29.4,9.8,0.35, 
이유식,40,170.4,26.28,6.16,4.64, 
오곡즉석밥,100,150,32.9,3.6,0.4, 
오곡즉석밥,100,150,33.76,2.83,0.38, 
"쌀국수,건면",100,354,72.6,9.1,1.5, 
"쌀국수,건면",100,340,72.6,9.1,1.5, 
옥수수묵,100,55,12.6,1.1,0, 
옥수수묵,100,55,12.6,1.1,0, 
참쌀모듬찰떡,100,223,47.4,5.7,1.2, 
참쌀모듬찰떡,100,223,47.4,5.7,1.2, 
"찹쌀흑미찰국수,건면",100,338,74.6,8.1,0.3, 
"찹쌀흑미찰국수,건면",100,334,74.6,8.1,0.3, 
찹살도우넛,100,296,57.1,5,5.3, 
찹살도우넛,100,296,57.1,5,5.3, 
"감자,생것",100,63,13.9,2.4,0, 
"감자,생것",100,53,16.07,1.93,0.03, 
"감자,구운것",100,72,16.4,1.8,0.1, 
"감자,구운것",100,64,19.38,2.3,0.08, 
"감자,삶은것",100,66,14.2,3.2,TRACE, 
"감자,삶은것",100,57,17.43,1.99,0.04, 
"감자,으깬것",100,83,17.5,1.9,0.6, 
"감자,으깬것",100,83,17.57,1.91,0.57, 
"감자,찐것",100,70,15.3,3,TRACE, 
"감자,찐것",100,56,17.28,1.94,0.05, 
"돼지감자,생것",100,68,15.1,1.9,0.2, 
"돼지감자,생것",100,35,14.92,2.18,0.09, 
감자샐러드,100,121,11.2,2.7,8.2, 
감자샐러드,100,143,11.17,2.68,8.2, 
매시트포테이토(으깬감자),100,81,17.5,1.9,0.6, 
