id,name,serving_wt,kcal,carbo,protein,fat,company
21445,"사탕,은단",10.0,29.0,7.24,0,0,해태제과
21446,"사탕,은단",10.0,2.9,0.72,0,0,해태제과
21447,"사탕,자두캔디",10.0,36.5,9.14,0.02,0,해태제과
21448,"사탕,자두캔디",10.0,3.65,0.91,0,0,해태제과
21449,"양갱,팥양갱",50.0,143.0,33.55,1.45,0,해태제과
21450,"양갱,팥양갱",50.0,71.5,16.78,0.73,0,해태제과
21451,"초코바,자유시간",30.0,143.7,18.3,2.04,6.99,해태제과
21452,"초코바,자유시간",30.0,43.11,5.49,0.61,2.1,해태제과
21453,"초콜렛,티피",30.0,147.9,17.19,3.21,7.86,해태제과
21454,"초콜렛,티피",30.0,44.37,5.16,0.96,2.36,해태제과
21455,"초콜렛,허쉬",30.0,163.8,15.09,2.1,10.59,해태제과
21456,"초콜렛,허쉬",30.0,49.14,4.53,0.63,3.18,해태제과
21457,"사과쥬스,갈아만든사과",200.0,182.0,41.6,2.6,2.6,해태제과
21458,"사과쥬스,갈아만든사과",200.0,364.0,83.2,5.2,5.2,해태제과
21459,"돼지고기,돈까스",30.0,75.9,6.81,2.34,4.35,해태제과
21460,"돼지고기,돈까스",30.0,22.77,2.04,0.7,1.31,해태제과
21461,"완자,동그랑땡",30.0,61.2,2.25,2.76,4.56,해태제과
21462,"완자,동그랑땡",30.0,18.36,0.68,0.83,1.37,해태제과
21463,"아이스크림,파시통통",100.0,153.0,26,1.3,3.9,해태제과
21464,"아이스크림,파시통통",100.0,153.0,26,1.3,3.9,해태제과
21465,"아이스크림,후레쉬메론",100.0,157.0,23.1,1.5,6.2,해태제과
21466,"아이스크림,후레쉬메론",100.0,157.0,23.1,1.5,6.2,해태제과
21467,"탄산음료,람보깜찍이소다",200.0,90.0,22.8,0,0,해태제과
21468,"탄산음료,람보깜찍이소다",200.0,180.0,45.6,0,0,해태제과
21469,"탄산음료,왕눈이깜찍이소다",200.0,94.0,23.6,0,0,해태제과
21470,"탄산음료,왕눈이깜찍이소다",200.0,188.0,47.2,0,0,해태제과
21471,"탄산음료,이쁜깜찍이소다",200.0,94.0,22.8,0,0,해태제과
21472,"탄산음료,이쁜깜찍이소다",200.0,188.0,45.6,0,0,해태제과
21473,"커피믹스,카푸치노500",200.0,558.0,54.6,3,36.4,해태제과
21474,"커피믹스,카푸치노500",200.0,1116.0,109.2,6,72.8,해태제과
21475,고향만두사랑그대로샤오롱,150.0,600.0,64.5,27,27,해태제과
21476,고향만두사랑그대로샤오롱,150.0,500.0,53.75,22.5,22.5,해태제과
21477,쿡스쿡스우리쌀만두,150.0,360.0,42,12,16.5,해태제과
21478,쿡스쿡스우리쌀만두,150.0,540.0,63,18,24.75,해태제과
21479,해태치킨커리군만두,150.0,300.0,40.5,10.5,10.5,해태제과
21480,해태치킨커리군만두,150.0,450.0,60.75,15.75,15.75,해태제과
21481,이슬먹은렌지만두매운맛,150.0,600.0,46.5,19.5,37.5,해태제과
21482,이슬먹은렌지만두매운맛,150.0,500.0,38.75,16.25,31.25,해태제과
21483,모링가쿠키,30.0,24.9,3.9,0.3,0.9,헬스존
21484,모링가쿠키,30.0,31.13,4.88,0.38,1.13,헬스존
21485,바나나칩,30.0,39.9,5.4,0,2.1,현정보통신
21486,바나나칩,30.0,44.33,6,0,2.33,현정보통신
21487,로드화이트,30.0,61.5,5.7,0.6,4.2,혜진식품
21488,로드화이트,30.0,57.66,5.34,0.56,3.94,혜진식품
21489,테스코크림크래커,30.0,30.9,5.1,0.72,0.96,홈플러스
21490,테스코크림크래커,30.0,38.63,6.38,0.9,1.2,홈플러스
21491,테스코버터리빈스셀렉션,30.0,46.5,5.1,0.54,2.55,홈플러스
21492,테스코버터리빈스셀렉션,30.0,48.1,5.28,0.56,2.64,홈플러스
21493,테스코마일드칠리맛홀그레인라이스크리스피,30.0,35.7,5.7,0.63,1.26,홈플러스
21494,테스코마일드칠리맛홀그레인라이스크리스피,30.0,36.93,5.9,0.65,1.3,홈플러스
21495,테스코마쉬멜로우맛크리스피바,30.0,34.5,7.23,0.39,0.48,홈플러스
21496,테스코마쉬멜로우맛크리스피바,30.0,36.96,7.75,0.42,0.51,홈플러스
21497,테스코하이베이크비스킷,30.0,27.3,5.22,0.66,0.48,홈플러스
21498,테스코하이베이크비스킷,30.0,37.23,7.12,0.9,0.65,홈플러스
21499,테스코스트로우베리그레인바,30.0,40.8,8.55,0.48,0.75,홈플러스
21500,테스코스트로우베리그레인바,30.0,33.08,6.93,0.39,0.61,홈플러스
21501,테스코초콜릿맛츄이바,30.0,37.5,5.55,0.57,1.5,홈플러스
21502,테스코초콜릿맛츄이바,30.0,41.67,6.17,0.63,1.67,홈플러스
21503,테스코애플그레인바,30.0,42.0,8.61,0.45,0.69,홈플러스
21504,테스코애플그레인바,30.0,34.05,6.98,0.36,0.56,홈플러스
21505,테스코스카티쉬버터맛비스킷,30.0,54.0,6.54,0.6,2.7,홈플러스
21506,테스코스카티쉬버터맛비스킷,30.0,45.0,5.45,0.5,2.25,홈플러스
