,name,serving_wt,kcal,carbo,protein,fat,sugars,sodium,chol,saturated_fatty_acid,trans_fatty_acid,year,company
91,건빵,100,415,73.8,8.7,9.4,N/A,464,N/A,N/A,N/A,2006,
92,건빵,100,419,75.37,9.92,8.67,16.84,457,0,3.68,N/A,2017,
93,건포도빵,100,269,51.1,8.2,3.5,N/A,400,0,N/A,N/A,2011,
94,건포도빵,100,269,51.1,8.2,3.5,N/A,400,N/A,-1.57,N/A,2017,
95,곰보빵,100,415,61.44,9.5,14.54,17.01,307,28.75,6.08,N/A,2017,
96,곰보빵,100,380,56.5,8.8,13.2,N/A,231,N/A,N/A,N/A,2011,
97,"도우넛,링",100,426,40.6,7.3,26,N/A,360,N/A,N/A,N/A,2017,
98,"도우넛,링",100,426,40.6,7.3,26,N/A,360,N/A,N/A,N/A,2011,
99,"도우넛,이스트",70,271.6,30.8,4.9,14.28,N/A,217,16.8,N/A,N/A,2011,
100,"도우넛,케이크",70,262.5,42.21,4.9,8.26,N/A,112,14,N/A,N/A,2011,
101,"도우넛,팥",100,347,45.7,6.6,15.3,N/A,188,N/A,N/A,N/A,2017,
102,"도우넛,팥",100,347,45.7,6.6,15.3,N/A,188,N/A,N/A,N/A,2011,
103,소프트롤빵,100,316,48.6,10.1,9,N/A,490,0,N/A,N/A,2011,
104,소프트롤빵,100,316,48.6,10.1,9,6.4,490,N/A,4.02,N/A,2017,
105,하드롤빵,100,293,52.7,9.9,4.3,N/A,544,0,N/A,N/A,2011,
106,하드롤빵,100,293,52.7,9.9,4.3,1.77,544,0,0.61,N/A,2017,
107,마늘빵,100,500,54.9,10.8,27.9,N/A,623,N/A,N/A,N/A,2006,
108,마늘빵,100,424,57.5,9.8,17.2,N/A,558,N/A,N/A,N/A,2017,
109,"만주,밤",100,309,68.3,6,1.3,N/A,25,N/A,N/A,N/A,2011,
110,"만주,밤",100,330,70.86,6.35,2.39,42.45,158,0,0.86,N/A,2017,
111,우유머핀,100,296,41.4,6.9,11.4,N/A,467,0,N/A,N/A,2011,
112,우유머핀,100,296,41.4,6.9,11.4,N/A,467,39,2.16,N/A,2017,
113,잉글리쉬머핀,100,234,46,7.7,1.8,N/A,464,0,N/A,N/A,2011,
114,잉글리쉬머핀,100,235,46,7.7,1.8,N/A,464,0,0.26,N/A,2017,
115,"밀가공(빵류),모카빵",100,316,58.2,8.9,4,N/A,367,N/A,N/A,N/A,2006,
116,"밀가공(빵류),모카빵",100,354,63.29,8.31,7.53,15.43,316,33.99,3.63,N/A,2017,
117,달걀베이글,100,278,53,10.6,2.1,N/A,505,N/A,N/A,N/A,2011,
118,달걀베이글,100,278,53,10.6,2.1,N/A,505,24,0.42,N/A,2017,
119,식빵,100,284,51.1,8.3,5.2,N/A,66,0,N/A,N/A,2011,
120,식빵,100,279,49.68,9.01,4.91,4.12,516,0,2.87,N/A,2017,
121,옥수수식빵,100,275,54.4,8.3,2.7,N/A,457,N/A,N/A,N/A,2011,
122,옥수수식빵,100,270,50.45,9.44,3.42,5.32,524,0,1.56,N/A,2017,
123,우유식빵,100,285,48.7,9.1,6,N/A,434,N/A,N/A,N/A,2011,
124,우유식빵,100,285,48.7,9.1,6,N/A,434,N/A,N/A,N/A,2017,
125,토스트식빵,100,293,54.4,9,4,N/A,592,N/A,N/A,N/A,2011,
